Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,Axiscades Technologies Ltd,Active,T ,5.00,INE555B01013,BPO/KPO,Equity,
532397,KONNDOR INDUSTRIES LIMITED,KONNDOR,Konndor Industries Ltd,Active,X ,10.00,INE971A01014,Paper & Paper Products,Equity,
532398,Usha Martin Education & Solutions Limited,UMESLTD,Usha Martin Education & Solutions Limited,Active,T ,1.00,INE240C01028,Education,Equity,
532400,BIRLASOFT LIMITED,BSOFT,Birlasoft Ltd,Active,A ,2.00,INE836A01035,IT Consulting & Software,Equity,
532402,USG Tech Solutions Ltd,USGTECH,USG TECH SOLUTIONS LTD.,Active,XT,10.00,INE718B01017,IT Software Products,Equity,
532403,Fourth Generation Information Systems Ltd,4THGEN,FOURTH GENERATION INFORMATION SYSTEMS LTD.,Active,XT,10.00,INE739B01039,IT Software Products,Equity,
532404,Saven Technologies Ltd.,7TEC,SAVEN TECHNOLOGIES LTD.,Active,X ,1.00,INE856B01023,IT Software Products,Equity,
532406,Avantel Limited,AVANTEL,AVANTEL LTD.,Active,X ,10.00,INE005B01019,Telecom Equipment,Equity,
532407,MOSCHIP TECHNOLOGIES LIMITED,MOSCHIP,Moschip Technologies Ltd,Active,X ,2.00,INE935B01025,IT Software Products,Equity,
532408,Megasoft Ltd.,MEGASOFT,MEGASOFT LTD.,Active,T ,10.00,INE933B01012,IT Software Products,Equity,
532410,Transcorp International Ltd.,TRANSCOR,TRANSCORP INTERNATIONAL LTD.,Active,XT,2.00,INE330E01023,Other Financial Services,Equity,
532413,Cerebra Integrated Technologies Ltd.,CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LTD.,Active,B ,10.00,INE345B01019,Computer Hardware,Equity,
532416,Next Mediaworks Ltd,NEXTMEDIA,NEXT MEDIAWORKS LTD.,Active,B ,10.00,INE747B01016,Publishing,Equity,
532419,Smartlink Holdings Limited,SMARTLINK,Smartlink Holdings Ltd,Active,B ,2.00,INE178C01020,IT Networking Equipment,Equity,
532424,Godrej Consumer Products Ltd.,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,Active,A ,1.00,INE102D01028,Personal Products,Equity,
532425,GENUS PRIME INFRA LIMITED,GENUSPRIME,Genus Prime Infra Ltd,Active,XT,2.00,INE256D01014,Commodity Chemicals,Equity,
532430,BF Utilities Ltd.,BFUTILITIE,BF UTILITIES LTD.-$,Active,A ,5.00,INE243D01012,Electric Utilities,Equity,
532432,United Spirits Limited,UNITDSPR,UNITED SPIRITS LTD.,Active,B ,2.00,INE854D01024,Breweries & Distilleries,Equity,
532435,Sanmit Infra Limited,SANINFRA,Sanmit Infra Limited,Active,X ,10.00,INE799C01023,Realty,Equity,
532439,OLECTRA GREENTECH LIMITED,OLECTRA,Olectra Greentech Ltd,Active,T ,4.00,INE260D01016,Industrial Machinery,Equity,
532440,MPS Limited,MPSLTD,MPS LTD.,Active,B ,10.00,INE943D01017,Comm.Printing/Stationery,Equity,
532441,Rainbow Denim Ltd.,RAINBOWDQ,RAINBOW DENIM LTD.,Active,XT,10.00,INE820D01025,Textiles,Equity,
532443,Cera Sanitaryware Ltd.,CERA,CERA SANITARYWARE LTD.,Active,A ,5.00,INE739E01017,Furniture-Furnishing-Paints,Equity,
532444,T. Spiritual World Ltd.,TSPIRITUAL,T.SPIRITUAL WORLD LTD.,Active,XT,10.00,INE541C01037,IT Software Products,Equity,
532454,Bharti Airtel  Ltd.,BHARTIARTL,BHARTI AIRTEL LTD.,Active,A ,5.00,INE397D01024,Telecom Services,Equity,
532455,Shalimar Wires Industries Ltd.,SHALIWIR,SHALIMAR WIRES INDUSTRIES LTD.,Active,XT,2.00,INE655D01025,Copper,Equity,
532456,Compuage Infocom Ltd,COMPUAGE,COMPUAGE INFOCOM LTD.,Active,B ,2.00,INE070C01037,Storage Media & Peripherals,Equity,
532457,Gulshan Polyols Ltd.,GULPOLY,GULSHAN POLYOLS LTD.,Active,T ,1.00,INE255D01024,Commodity Chemicals,Equity,
532459,FAZE THREE AUTOFAB LIMITED,FAZE3AUTO,Faze Three Autofab Ltd-$,Active,X ,10.00,INE207D01017,Textiles,Equity,
532460,Ponni Sugars (Erode) Ltd.,PONNIERODE,PONNI SUGARS (ERODE) LTD.,Active,B ,10.00,INE838E01017,Sugar,Equity,
532461,Punjab National Bank,PNB,PUNJAB NATIONAL BANK,Active,A ,2.00,INE160A01022,Banks,Equity,
532466,Oracle Financial Services Software Limited,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,Active,A ,5.00,INE881D01027,IT Consulting & Software,Equity,
532467,Hazoor Multi Projects Limited,HAZOOR,HAZOOR MULTI PROJECTS LTD.-$,Active,XT,10.00,INE550F01031,Movies & Entertainment,Equity,
532468,Kama Holdings Limited,KAMAHOLD,Kama Holdings Limited-$,Active,A ,10.00,INE411F01010,Holding Companies,Equity,
532470,Mather & Platt Fire Systems Ltd.,MPFSL,MATHER & PLATT FIRE SYSTEMS LTD.,Active,XT,10.00,INE095E01022,Misc.Commercial Services,Equity,
532475,Aptech Ltd.,APTECHT,APTECH LTD.,Active,A ,10.00,INE266F01018,IT Training Services,Equity,
532477,Union Bank of India,UNIONBANK,UNION BANK OF INDIA,Active,A ,10.00,INE692A01016,Banks,Equity,
532478,United Breweries Ltd.,UBL,UNITED BREWERIES LTD.-$,Active,A ,1.00,INE686F01025,Breweries & Distilleries,Equity,
532479,ISMT Limited,ISMTLTD,ISMT LTD.,Active,T ,5.00,INE732F01019,Iron & Steel/Interm.Products,Equity,
532481,Noida Toll Bridge Company Ltd,NOIDATOLL,NOIDA TOLL BRIDGE COMPANY LTD.,Active,B ,10.00,INE781B01015,Roads & Highways,Equity,
532482,Granules India Ltd.,GRANULES,GRANULES INDIA LTD.-$,Active,A ,1.00,INE101D01020,Pharmaceuticals,Equity,
532483,Canara Bank,CANBK,CANARA BANK,Active,A ,10.00,INE476A01014,Banks,Equity,
532485,Balmer Lawrie Investments Ltd.,BLIL,BALMER LAWRIE INVESTMENTS LTD.,Active,B ,10.00,INE525F01017,Finance (including NBFCs),Equity,
532486,Pokarna Ltd.,POKARNA,POKARNA LTD.,Active,B ,2.00,INE637C01025,Construction Materials,Equity,
532488,Divi's Laboratories Ltd.,DIVISLAB,DIVI'S LABORATORIES LTD.,Active,A ,2.00,INE361B01024,Pharmaceuticals,Equity,
532493,Astra Microwave Products Ltd.,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,Active,A ,2.00,INE386C01029,Defence,Equity,
532497,Radico Khaitan Ltd.,RADICO,RADICO KHAITAN LTD.,Active,A ,2.00,INE944F01028,Breweries & Distilleries,Equity,
532498,Shriram-City Union Finance Ltd.,SHRIRAMCIT,SHRIRAM CITY UNION FINANCE LTD.,Active,A ,10.00,INE722A01011,Finance (including NBFCs),Equity,
532500,Maruti Suzuki India  Ltd.,MARUTI,MARUTI SUZUKI INDIA LTD.,Active,A ,5.00,INE585B01010,Cars & Utility Vehicles,Equity,
532503,Rajapalayam Mills Limited,RAJPALAYAM,RAJAPALAYAM MILLS LTD.-$,Active,X ,10.00,INE296E01026,Textiles,Equity,
532504,Navin Fluorine International Limited,NAVINFLUOR,Navin Fluorine International Limited-$,Active,A ,2.00,INE048G01026,Commodity Chemicals,Equity,
532505,UCO Bank,UCOBANK,UCO BANK,Active,A ,10.00,INE691A01018,Banks,Equity,
532507,B.A.G. Films & Media Ltd,BAGFILMS,B.A.G.FILMS & MEDIA LTD.,Active,T ,2.00,INE116D01028,Broadcasting & Cable TV,Equity,
532508,Jindal Stainless Limited,JSL,JINDAL STAINLESS LTD.,Active,A ,2.00,INE220G01021,Iron & Steel/Interm.Products,Equity,
532509,Suprajit Engineering Ltd.,SUPRAJIT,SUPRAJIT ENGINEERING LTD.-$,Active,A ,1.00,INE399C01030,Auto Parts & Equipment,Equity,
532513,TVS Electronics Ltd.,TVSELECT,TVS ELECTRONICS LTD.,Active,B ,10.00,INE236G01019,Storage Media & Peripherals,Equity,
532514,Indraprashtha Gas Ltd.,IGL,INDRAPRASTHA GAS LTD.,Active,A ,2.00,INE203G01027,Utilities:Non-Elec.,Equity,
532515,T.V.Today Network Limited,TVTODAY,TV TODAY NETWORK LTD.,Active,A ,5.00,INE038F01029,Broadcasting & Cable TV,Equity,
532521,Palred Technologies Limited,PALRED,Palred Technologies Limited,Active,B ,10.00,INE218G01033,IT Software Products,Equity,
532522,PETRONET LNG LTD.,PETRONET,PETRONET LNG LTD.,Active,A ,10.00,INE347G01014,Oil Marketing & Distribution,Equity,
532523,Biocon Ltd.,BIOCON,BIOCON LTD.,Active,A ,5.00,INE376G01013,Biotechnology,Equity,
532524,PTC India Ltd,PTC,PTC INDIA LTD.,Active,A ,10.00,INE877F01012,Electric Utilities,Equity,
532525,Bank of maharashtra,MAHABANK,BANK OF MAHARASHTRA,Active,A ,10.00,INE457A01014,Banks,Equity,
532527,ramkrishna forgings Ltd.,RKFORGE,RAMKRISHNA FORGINGS LTD.,Active,A ,10.00,INE399G01015,Other Industrial Products,Equity,
532528,Datamatics Global Services Limited,DATAMATICS,DATAMATICS GLOBAL SERVICES LTD.,Active,B ,5.00,INE365B01017,IT Software Products,Equity,
532529,New Delhi Television Limited,NDTV,NEW DELHI TELEVISION LTD.,Active,B ,4.00,INE155G01029,Broadcasting & Cable TV,Equity,
532531,STRIDES PHARMA SCIENCE LIMITED,STAR,Strides Pharma Science Ltd,Active,A ,10.00,INE939A01011,Pharmaceuticals,Equity,
532532,Jaiprakash Associates Limited,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD.,Active,T ,2.00,INE455F01025,Construction & Engineering,Equity,
532538,UltraTech Cement Ltd,ULTRACEMCO,ULTRATECH CEMENT LTD.,Active,A ,10.00,INE481G01011,Cement & Cement Products,Equity,
532539,Minda Industries Ltd.,MINDAIND,MINDA INDUSTRIES LTD.-$,Active,A ,2.00,INE405E01023,Auto Parts & Equipment,Equity,
532540,Tata Consultancy Services Ltd.,TCS,TATA CONSULTANCY SERVICES LTD.,Active,A ,1.00,INE467B01029,IT Consulting & Software,Equity,
532541,COFORGE LIMITED,COFORGE,Coforge Ltd,Active,A ,10.00,INE591G01017,IT Consulting & Software,Equity,
532543,GP Petroleums Limited,GULFPETRO,GP Petroleums Limited,Active,B ,5.00,INE586G01017,Oil Marketing & Distribution,Equity,
532548,Century Plyboards (India) Ltd.,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.-$,Active,A ,1.00,INE348B01021,Forest Products,Equity,
532553,Welspun Enterprises Limited,WELENT,Welspun Enterprises Ltd,Active,A ,10.00,INE625G01013,Construction & Engineering,Equity,
532555,NTPC Limited,NTPC,NTPC LTD.,Active,A ,10.00,INE733E01010,Electric Utilities,Equity,
532604,S.A.L. Steel Ltd.,SALSTEEL,S.A.L.STEEL LTD.,Active,T ,10.00,INE658G01014,Iron & Steel/Interm.Products,Equity,
532605,JBM Auto Limited,JBMA,JBM AUTO LTD.,Active,B ,5.00,INE927D01028,Auto Parts & Equipment,Equity,
532610,Dwarikesh Sugar Industries Ltd.,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,A ,1.00,INE366A01041,Sugar,Equity,
532612,Indoco Remedies Ltd.,INDOCO,INDOCO REMEDIES LTD.,Active,A ,2.00,INE873D01024,Pharmaceuticals,Equity,
532613,VIP Clothing Limited,VIPCLOTHNG,VIP Clothing Ltd,Active,B ,2.00,INE450G01024,Comm.Trading  & Distribution,Equity,
532616,Xchanging Solutions Limited,XCHANGING,XCHANGING SOLUTIONS LTD.,Active,B ,10.00,INE692G01013,BPO/KPO,Equity,
532617,Jet Airways (India) Ltd,JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,Active,Z ,10.00,INE802G01018,Airlines,Equity,
532621,Morarjee Textiles Limited,MORARJEE,MORARJEE TEXTILES LTD.,Active,B ,7.00,INE161G01027,Textiles,Equity,
532622,GATEWAY DISTRIPARKS LTD.,GDL,GATEWAY DISTRIPARKS LTD.,Active,T ,10.00,INE852F01015,Transportation - Logistics,Equity,
532624,Jindal Photo Limited,JINDALPHOT,JINDAL PHOTO LTD.,Active,T ,10.00,INE796G01012,Photographic Products,Equity,
532626,Pondy Oxides & Chemicals Limited,PONDYOXIDE,PONDY OXIDES & CHEMICALS LTD.,Active,X ,10.00,INE063E01046,Other Non-Ferrous Metals,Equity,
532627,Jaiprakash Power Ventures Limited,JPPOWER,Jaiprakash Power Ventures Limited,Active,B ,10.00,INE351F01018,Electric Utilities,Equity,
532628,3i Infotech limited,3IINFOTECH,3I INFOTECH LTD.,Active,T ,10.00,INE748C01020,IT Consulting & Software,Equity,
532629,McNally Bharat Engineering Company Limited,MBECL,MCNALLY BHARAT ENGINEERING COMPANY LTD.,Active,T ,10.00,INE748A01016,Construction & Engineering,Equity,
532630,Gokaldas Exports Ltd,GOKEX,GOKALDAS EXPORTS LTD.,Active,B ,5.00,INE887G01027,Other Apparels & Accessories,Equity,
532633,Allsec Technologies Ltd.,ALLSEC,ALLSEC TECHNOLOGIES LTD.,Active,B ,10.00,INE835G01018,BPO/KPO,Equity,
532636,IIFL FINANCE LIMITED ,IIFL,IIFL Finance Ltd,Active,T ,2.00,INE530B01024,Other Financial Services,Equity,
532637,Mangalam Drugs and Organics Ltd.,MANGALAM,MANGALAM DRUGS & ORGANICS LTD.,Active,B ,10.00,INE584F01014,Pharmaceuticals,Equity,
532638,Shoppers Stop Ltd,SHOPERSTOP,SHOPPERS STOP LTD.,Active,A ,5.00,INE498B01024,Department Stores,Equity,
532640,Cyber Media (India) Ltd.,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,Active,B ,10.00,INE278G01037,Publishing,Equity,
532641,Nandan Denim Limited,NDL,Nandan Denim Limited,Active,T ,10.00,INE875G01030,Textiles,Equity,
532642,JSW Holdings Limited,JSWHL,JSW Holdings Limited,Active,A ,10.00,INE824G01012,Holding Companies,Equity,
532644,J.K. CEMENT LTD,JKCEMENT,J.K.CEMENT LTD.,Active,A ,10.00,INE823G01014,Cement & Cement Products,Equity,
532645,Beeyu Overseas Ltd.,BEEYU,BEEYU OVERSEAS LTD.,Active,XT,10.00,INE052B01011,Comm.Trading  & Distribution,Equity,
532648,Yes Bank Ltd.,YESBANK,YES BANK LTD.,Active,A ,2.00,INE528G01035,Banks,Equity,
532649,Nectar Lifesciences Limited,NECLIFE,NECTAR LIFESCIENCES LTD.,Active,B ,1.00,INE023H01027,Pharmaceuticals,Equity,
532650,MSP STEEL & POWER LTD.,MSPL,MSP STEEL & POWER LTD.,Active,T ,10.00,INE752G01015,Iron & Steel Products,Equity,
532651,SPL INDUSTRIES LIMITED,SPLIL,SPL INDUSTRIES LTD.,Active,B ,10.00,INE978G01016,Other Apparels & Accessories,Equity,
532652,Karnataka Bank Ltd.,KTKBANK,KARNATAKA BANK LTD.,Active,A ,10.00,INE614B01018,Banks,Equity,
532654,McLeod Russel India Limited,MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,Active,T ,5.00,INE942G01012,Tea & Coffee,Equity,
532656,FACOR Alloys Limited,FACORALL,FACOR ALLOYS LTD.,Active,X ,1.00,INE828G01013,Iron & Steel/Interm.Products,Equity,
532659,IDFC LIMITED,IDFC,IDFC LIMITED,Active,A ,10.00,INE043D01016,Finance (including NBFCs),Equity,
532660,Vivimed Labs Ltd.,VIVIMEDLAB,VIVIMED LABS LTD.,Active,T ,2.00,INE526G01021,Pharmaceuticals,Equity,
532661,Rane (Madras)  Ltd.,RML,RANE (MADRAS) LTD.,Active,B ,10.00,INE050H01012,Auto Parts & Equipment,Equity,
532662,HT Media Ltd,HTMEDIA,HT MEDIA LTD.,Active,B ,2.00,INE501G01024,Publishing,Equity,
532663,Sasken Technologies Limited,SASKEN,Sasken Technologies Ltd,Active,A ,10.00,INE231F01020,IT Consulting & Software,Equity,
532666,FCS Software Solutions Ltd.,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,Active,T ,1.00,INE512B01022,IT Consulting & Software,Equity,
532667,SUZLON ENERGY LTD.,SUZLON,SUZLON ENERGY LTD.,Active,A ,2.00,INE040H01021,Heavy Electrical Equipment,Equity,
532668,Aurionpro Solutions Ltd.,AURIONPRO,AURIONPRO SOLUTIONS LTD.,Active,B ,10.00,INE132H01018,IT Software Products,Equity,
532670,Shree Renuka Sugars Ltd.,RENUKA,SHREE RENUKA SUGARS LTD.,Active,T ,1.00,INE087H01022,Sugar,Equity,
532673,K. M. Sugar Mills Ltd.,KMSUGAR,K.M.SUGAR MILLS LTD.,Active,B ,2.00,INE157H01023,Sugar,Equity,
532674,Bannari Amman Spinning Mills Ltd,BASML,BANNARI AMMAN SPINNING MILLS LTD.,Active,T ,5.00,INE186H01022,Textiles,Equity,
532676,PBA INFRASTRUCTURE LTD.,PBAINFRA,PBA INFRASTRUCTURE LTD.,Active,B ,10.00,INE160H01019,Construction & Engineering,Equity,
532678,Bombay Rayon Fashions Ltd.,BRFL,BOMBAY RAYON FASHIONS LTD.,Active,T ,10.00,INE589G01011,Textiles,Equity,
532679,SORIL Infra Resources Limited,SORILINFRA,SORIL Infra Resources Ltd,Active,B ,10.00,INE034H01016,Diversified,Equity,
532683,AIA Engineering Ltd.,AIAENG,AIA ENGINEERING LTD.,Active,A ,2.00,INE212H01026,Other Industrial Goods,Equity,
532684,Everest Kanto Cylinders Ltd.,EKC,EVEREST KANTO CYLINDER LTD.,Active,T ,2.00,INE184H01027,Other Industrial Products,Equity,
532686,Kernex Microsystems (India) Ltd.,KERNEX,KERNEX MICROSYSTEMS (INDIA) LTD.,Active,T ,10.00,INE202H01019,Transport Related Services,Equity,
532687,Repro India Ltd.,REPRO,REPRO INDIA LTD.,Active,B ,10.00,INE461B01014,Comm.Printing/Stationery,Equity,
532689,PVR Ltd.,PVR,PVR LTD.,Active,A ,10.00,INE191H01014,Specialty Retail,Equity,
532692,Radha Madhav Corporation Ltd.,RMCL,RADHA MADHAV CORPORATION LTD.,Active,Z ,10.00,INE172H01014,Containers & Packaging,Equity,
532693,Punj LLoyd Ltd,PUNJLLOYD,PUNJ LLOYD LTD.,Active,Z ,2.00,INE701B01021,Construction & Engineering,Equity,
532694,Bartronics India Ltd.,BARTRONICS,BARTRONICS INDIA LTD.,Active,Z ,10.00,INE855F01034,Misc.Commercial Services,Equity,
532695,Celebrity Fashions Ltd.,CELEBRITY,CELEBRITY FASHIONS LTD.,Active,B ,10.00,INE185H01016,Other Apparels & Accessories,Equity,
532696,Educomp Solutions Ltd,EDUCOMP,EDUCOMP SOLUTIONS LTD.,Active,Z ,2.00,INE216H01027,Education,Equity,
532698,Nitin Spinners Ltd.,NITINSPIN,NITIN SPINNERS LTD.,Active,B ,10.00,INE229H01012,Textiles,Equity,
532699,Royal Orchid Hotels Ltd,ROHLTD,ROYAL ORCHID HOTELS LTD.,Active,B ,10.00,INE283H01019,Hotels,Equity,
532700,Entertainment Network (India) Ltd,ENIL,ENTERTAINMENT NETWORK (INDIA) LTD.,Active,B ,10.00,INE265F01028,Broadcasting & Cable TV,Equity,
532701,CELLA SPACE LIMITED,CELLA,Cella Space Ltd,Active,Z ,10.00,INE266H01014,Paper & Paper Products,Equity,
532702,Gujarat State Petronet Ltd.,GSPL,GUJARAT STATE PETRONET LTD.,Active,A ,10.00,INE246F01010,Utilities:Non-Elec.,Equity,
532705,Jagran Prakashan Limited,JAGRAN*,JAGRAN PRAKASHAN LTD.,Active,A ,2.00,INE199G01027,Publishing,Equity,
532706,Inox Leisure Limited,INOXLEISUR,INOX LEISURE LTD.,Active,A ,10.00,INE312H01016,Specialty Retail,Equity,
532707,Dynemic Products Ltd.,DYNPRO,DYNEMIC PRODUCTS LTD.,Active,B ,10.00,INE256H01015,Specialty Chemicals,Equity,
532710,Sadbhav Engineering Ltd.,SADBHAV,SADBHAV ENGINEERING LTD.,Active,A ,1.00,INE226H01026,Construction & Engineering,Equity,
532712,Reliance Communications Limited,RCOM,RELIANCE COMMUNICATIONS LTD.,Active,B ,5.00,INE330H01018,Telecom Services,Equity,
532713,Sakuma Exports Ltd.,SAKUMA,SAKUMA EXPORTS LTD.,Active,B ,1.00,INE190H01024,Comm.Trading  & Distribution,Equity,
532714,KEC International Ltd.,KEC,KEC INTERNATIONAL LTD.,Active,A ,2.00,INE389H01022,Heavy Electrical Equipment,Equity,
532716,Gillanders Arbuthnot & Co. Ltd.,GILLANDERS,GILLANDERS ARBUTHNOT & CO.LTD.,Active,B ,10.00,INE047B01011,Diversified,Equity,
532717,Indo Tech Transformers Limited,INDOTECH,INDO TECH TRANSFORMERS LTD.,Active,B ,10.00,INE332H01014,Heavy Electrical Equipment,Equity,
532719,B L Kashyap and Sons Ltd,BLKASHYAP,B.L.KASHYAP AND SONS LTD.,Active,B ,1.00,INE350H01032,Realty,Equity,
532720,Mahindra & Mahindra Financial Services Limited,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,Active,A ,2.00,INE774D01024,Finance (including NBFCs),Equity,
532721,Visa Steel Limited,VISASTEEL,VISA STEEL LTD.,Active,T ,10.00,INE286H01012,Iron & Steel/Interm.Products,Equity,
532722,Nitco Ltd.,NITCO,NITCO LTD.,Active,B ,10.00,INE858F01012,Furniture-Furnishing-Paints,Equity,
532723,MPDL LIMITED,MPDL,MPDL Ltd,Active,XT,10.00,INE493H01014,Realty,Equity,
532725,Solar Industries India Limited,SOLARINDS,SOLAR INDUSTRIES INDIA LTD.,Active,A ,2.00,INE343H01029,Specialty Chemicals,Equity,
532726,Gallantt Metal Limited,GALLANTT,GALLANTT METAL LTD.,Active,B ,10.00,INE297H01019,Iron & Steel/Interm.Products,Equity,
532728,Malu Paper Mills Limited,MALUPAPER,MALU PAPER MILLS LTD.,Active,B ,10.00,INE383H01017,Paper & Paper Products,Equity,
532729,Uttam Sugar Mills Ltd,UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,Active,T ,10.00,INE786F01031,Sugar,Equity,
532730,STL Global Ltd,SGL,STL GLOBAL LTD.,Active,B ,10.00,INE353H01010,Textiles,Equity,
532732,Kewal Kiran Clothing Ltd.,KKCL,KEWAL KIRAN CLOTHING LTD.,Active,B ,10.00,INE401H01017,Other Apparels & Accessories,Equity,
532733,SUN TV NETWORK LIMITED,SUNTV,SUN TV NETWORK LTD.,Active,A ,5.00,INE424H01027,Broadcasting & Cable TV,Equity,
532734,GODAWARI POWER AND ISPAT LTD.,GPIL,GODAWARI POWER & ISPAT LTD.,Active,T ,10.00,INE177H01013,Iron & Steel/Interm.Products,Equity,
532735,R Systems International Limited,RSYSTEMINT,R Systems International Limited,Active,A ,1.00,INE411H01032,IT Consulting & Software,Equity,
532737,Emkay Global Financial Services Ltd,EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LTD.,Active,B ,10.00,INE296H01011,Other Financial Services,Equity,
532738,Tantia Constructions Limited,TANTIACONS,TANTIA CONSTRUCTIONS LTD.,Active,Z ,10.00,INE388G01018,Construction & Engineering,Equity,
532740,Lokesh Machines Limited,LOKESHMACH,LOKESH MACHINES LTD.,Active,T ,10.00,INE397H01017,Industrial Machinery,Equity,
532741,Kamdhenu Limited,KAMDHENU,Kamdhenu Ltd,Active,B ,10.00,INE390H01012,Iron & Steel/Interm.Products,Equity,
532742,PAUSHAK LIMITED (formerly known as Darshak Limited),PAUSHAKLTD,PAUSHAK LTD.,Active,T ,10.00,INE111F01016,Specialty Chemicals,Equity,
532744,GTN Textiles Ltd. (formerly known as GTN Industries Ltd.),GTNTEX,GTN TEXTILES LTD.,Active,B ,10.00,INE302H01017,Textiles,Equity,
532745,Inditrade Capital Limited,INDICAP,Inditrade Capital Limited,Active,X ,10.00,INE347H01012,Other Financial Services,Equity,
532748,Prime Focus Limited,PFOCUS,PRIME FOCUS LTD.,Active,T ,1.00,INE367G01038,Movies & Entertainment,Equity,
532749,Allcargo Logistics Ltd,ALLCARGO,ALLCARGO LOGISTICS LTD.,Active,A ,2.00,INE418H01029,Transportation - Logistics,Equity,
532751,EASUN REYROLLE LTD.,EASUNREYRL,EASUN REYROLLE LTD.,Active,Z ,2.00,INE268C01029,Other Elect.Equip./ Prod.,Equity,
532754,GMR Infrastructure Limited,GMRINFRA,GMR INFRASTRUCTURE LTD.,Active,A ,1.00,INE776C01039,Airport Services,Equity,
532755,Tech Mahindra Limited,TECHM,TECH MAHINDRA LTD.,Active,A ,5.00,INE669C01036,IT Consulting & Software,Equity,
532756,Mahindra CIE Automotive Limited,MAHINDCIE,Mahindra CIE Automotive Limited,Active,A ,10.00,INE536H01010,Other Industrial Products,Equity,
532757,VOLTAMP TRANSFORMERS LIMITED,VOLTAMP,VOLTAMP TRANSFORMERS LTD.,Active,A ,10.00,INE540H01012,Heavy Electrical Equipment,Equity,
532759,Atlanta Limited,ATLANTA,ATLANTA LTD.,Active,T ,2.00,INE285H01022,Construction & Engineering,Equity,
532760,DEEP ENERGY RESOURCES LIMITED,DEEPENR,Deep Energy Resources Ltd,Active,B ,10.00,INE677H01012,Integrated Oil & Gas,Equity,
532761,HOV Services Limited,HOVS,HOV SERVICES LTD.,Active,B ,10.00,INE596H01014,BPO/KPO,Equity,
532762,Action Construction Equipments Ltd.,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,Active,A ,2.00,INE731H01025,Transport Related Services,Equity,
532764,GeeCee Ventures Limited,GEECEE,GeeCee Ventures Limited,Active,B ,10.00,INE916G01016,Realty,Equity,
532766,Richa Industries Limited,RICHAIND,RICHA INDUSTRIES LTD.,Active,Z ,10.00,INE516H01012,Construction & Engineering,Equity,
532767,Gayatri Projects Limited,GAYAPROJ,GAYATRI PROJECTS LTD.,Active,B ,2.00,INE336H01023,Construction & Engineering,Equity,
532768,FIEM INDUSTRIES LIMITED,FIEMIND,FIEM INDUSTRIES LTD.,Active,B ,10.00,INE737H01014,Auto Parts & Equipment,Equity,
532771,JHS Svendgaard Laboratories Ltd.,JHS,JHS SVENDGAARD LABORATORIES LTD.,Active,B ,10.00,INE544H01014,Personal Products,Equity,
532772,DCB Bank Limited,DCBBANK,DCB Bank Limited,Active,A ,10.00,INE503A01015,Banks,Equity,
532773,Global Vectra Helicorp Ltd.,GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,Active,B ,10.00,INE792H01019,Airlines,Equity,
532774,Inspirisys Solutions Limited,INSPIRISYS,Inspirisys Solutions Ltd,Active,B ,10.00,INE020G01017,IT Consulting & Software,Equity,
532775,GTL Infrastructure Limited,GTLINFRA,GTL INFRASTRUCTURE LTD.,Active,B ,10.00,INE221H01019,Telecom Equipment,Equity,
532776,SHIVAM AUTOTECH LIMITED,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,Active,T ,2.00,INE637H01024,Auto Parts & Equipment,Equity,
532777,Info Edge(India) Ltd.,NAUKRI,INFO EDGE (INDIA) LTD.,Active,A ,10.00,INE663F01024,Internet & Catalogue Retail,Equity,
532779,TORRENT POWER LIMITED,TORNTPOWER,TORRENT POWER LTD.,Active,A ,10.00,INE813H01021,Electric Utilities,Equity,
532780,Parsvnath Developers Ltd.,PARSVNATH,PARSVNATH DEVELOPERS LTD.,Active,B ,5.00,INE561H01026,Realty,Equity,
532782,SUTLEJ TEXTILES & INDUSTRIES LIMITED,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES LTD.,Active,B ,1.00,INE645H01027,Textiles,Equity,
532783,LT Foods Limited,DAAWAT,LT FOODS LTD.,Active,A ,1.00,INE818H01020,Packaged Foods,Equity,
532784,Sobha Limited,SOBHA,Sobha Limited,Active,A ,10.00,INE671H01015,Realty,Equity,
